MONTH,DAY_OF_MONTH,ORIGIN,DEST,DEP_DELAY
05,22,SEA,PDX,1.7272727272727273
05,22,SEA,PHX,5.230769230769231
05,22,SEA,SFO,15.055555555555555
05,22,SEA,SJC,1.3513513513513513
05,23,SEA,ANC,3.193548387096774
05,23,SEA,DEN,2.28
05,23,SEA,DFW,3.806451612903226
05,23,SEA,LAS,-0.21568627450980393
05,23,SEA,LAX,9.240506329113924
05,23,SEA,ORD,0
05,23,SEA,PDX,8.863636363636363
05,23,SEA,PHX,4.729166666666667
05,23,SEA,SFO,13.830769230769231
05,23,SEA,SJC,-1.588235294117647
05,24,SEA,ANC,2.5081967213114753
05,24,SEA,DEN,10.204081632653061
05,24,SEA,DFW,-0.15625
05,24,SEA,LAS,-1.183673469387755
05,24,SEA,LAX,6.582278481012659
05,24,SEA,ORD,3.1621621621621623
05,24,SEA,PDX,0.6666666666666666
05,24,SEA,PHX,0.3333333333333333
05,24,SEA,SFO,17.934426229508198
05,24,SEA,SJC,10.290322580645162
05,25,SEA,ANC,1.9411764705882353
05,25,SEA,DEN,5.03921568627451
05,25,SEA,DFW,4.484848484848484
05,25,SEA,LAS,3.6226415094339623
05,25,SEA,LAX,5.0843373493975905
05,25,SEA,ORD,4.097560975609756
05,25,SEA,PDX,6.318181818181818
05,25,SEA,PHX,11.745098039215685
05,25,SEA,SFO,23.408450704225352
05,25,SEA,SJC,0.7222222222222222
05,26,SEA,ANC,4.030769230769231
05,26,SEA,DEN,6.4363636363636365
05,26,SEA,DFW,13.909090909090908
05,26,SEA,LAS,7.296296296296297
05,26,SEA,LAX,8.318181818181818
05,26,SEA,ORD,-1.525
05,26,SEA,PDX,3.772727272727273
05,26,SEA,PHX,18.25
05,26,SEA,SFO,25.26388888888889
05,26,SEA,SJC,2.675675675675676
05,27,SEA,ANC,0.7076923076923077
05,27,SEA,DEN,5.469387755102041
05,27,SEA,DFW,-0.40625
05,27,SEA,LAS,1.0769230769230769
05,27,SEA,LAX,2.1125
05,27,SEA,ORD,9.325
05,27,SEA,PDX,-1.105263157894737
05,27,SEA,PHX,12.958333333333334
05,27,SEA,SFO,19.796875
05,27,SEA,SJC,0.47058823529411764
05,28,SEA,ANC,2.5303030303030303
05,28,SEA,DEN,2.0425531914893615
05,28,SEA,DFW,2.125
05,28,SEA,LAS,-0.0816326530612245
05,28,SEA,LAX,0.13513513513513514
05,28,SEA,ORD,15.86111111111111
05,28,SEA,PDX,-4.875
05,28,SEA,PHX,-1.3404255319148937
05,28,SEA,SFO,25.508474576271187
05,28,SEA,SJC,1.09375
05,29,SEA,ANC,5.5588235294117645
05,29,SEA,DEN,-1.7
05,29,SEA,DFW,-0.41935483870967744
05,29,SEA,LAS,-2.673469387755102
05,29,SEA,LAX,0.8333333333333334
05,29,SEA,ORD,0.16216216216216217
05,29,SEA,PDX,-1.95
05,29,SEA,PHX,6.191489361702128
05,29,SEA,SFO,19.303030303030305
05,29,SEA,SJC,3.393939393939394
05,30,SEA,ANC,4.575757575757576
05,30,SEA,DEN,14.404255319148936
05,30,SEA,DFW,11.28125
05,30,SEA,LAS,9.73076923076923
05,30,SEA,LAX,2.168831168831169
05,30,SEA,ORD,5.2682926829268295
05,30,SEA,PDX,24
05,30,SEA,PHX,0.673469387755102
05,30,SEA,SFO,13.428571428571429
05,30,SEA,SJC,4
05,31,SEA,ANC,4.6911764705882355
05,31,SEA,DEN,3.6538461538461537
05,31,SEA,DFW,-1.4375
05,31,SEA,LAS,-2.923076923076923
05,31,SEA,LAX,0.12048192771084337
05,31,SEA,ORD,19.105263157894736
05,31,SEA,PDX,2.9047619047619047
05,31,SEA,PHX,-0.8
05,31,SEA,SFO,3.5522388059701493
05,31,SEA,SJC,9.594594594594595
06,01,SEA,ANC,5.042857142857143
06,01,SEA,DEN,1.8518518518518519
06,01,SEA,DFW,-3.6129032258064515
06,01,SEA,LAS,-0.5384615384615384
06,01,SEA,LAX,1.7159090909090908
06,01,SEA,ORD,4.761904761904762
06,01,SEA,PDX,12.565217391304348
06,01,SEA,PHX,-0.5918367346938775
06,01,SEA,SFO,2.452054794520548
06,01,SEA,SJC,3.6216216216216215
06,02,SEA,ANC,11.776119402985074
06,02,SEA,DEN,3.1818181818181817
06,02,SEA,DFW,11.636363636363637
06,02,SEA,LAS,1.6226415094339623
06,02,SEA,LAX,-1.5108695652173914
06,02,SEA,ORD,5.318181818181818
06,02,SEA,PDX,17.90909090909091
06,02,SEA,PHX,5.1
06,02,SEA,SFO,3.915492957746479
06,02,SEA,SJC,-2.2972972972972974
06,03,SEA,ANC,1.3676470588235294
06,03,SEA,DEN,6.411764705882353
06,03,SEA,DFW,16.242424242424242
06,03,SEA,LAS,3.14
06,03,SEA,LAX,2.453488372093023
06,03,SEA,ORD,0.4772727272727273
06,03,SEA,PDX,1.1818181818181819
06,03,SEA,PHX,-0.40425531914893614
06,03,SEA,SFO,20.584615384615386
06,03,SEA,SJC,5.916666666666667
06,04,SEA,ANC,5.942857142857143
06,04,SEA,DEN,-1
06,04,SEA,DFW,-0.05128205128205128
06,04,SEA,LAS,-2.5294117647058822
06,04,SEA,LAX,0.4939759036144578
06,04,SEA,ORD,5.6976744186046515
06,04,SEA,PDX,14
06,04,SEA,PHX,-1.4285714285714286
06,04,SEA,SFO,18.416666666666668
06,04,SEA,SJC,-1.4242424242424243
06,05,SEA,ANC,3.3835616438356166
06,05,SEA,DEN,4.783333333333333
06,05,SEA,DFW,-1.6
06,05,SEA,LAS,-0.32075471698113206
06,05,SEA,LAX,1.3516483516483517
06,05,SEA,ORD,7.372093023255814
06,05,SEA,PDX,0.5294117647058824
06,05,SEA,PHX,0.9
06,05,SEA,SFO,7.8428571428571425
06,05,SEA,SJC,4.216216216216216
06,06,SEA,ANC,3.364864864864865
06,06,SEA,DEN,1.603448275862069
06,06,SEA,DFW,8.256410256410257
06,06,SEA,LAS,-3.98
06,06,SEA,LAX,0.39325842696629215
06,06,SEA,ORD,7.266666666666667
06,06,SEA,PDX,-3.235294117647059
06,06,SEA,PHX,9.224489795918368
06,06,SEA,SFO,1.7076923076923076
06,06,SEA,SJC,-1.457142857142857
06,07,SEA,ANC,1.8513513513513513
06,07,SEA,DEN,2.5737704918032787
06,07,SEA,DFW,1.7105263157894737
